사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
2022-02,2호선,210,뚝섬,8,1,2419,1397,5935,10981,12698,27003,19629,106147,12622,67194,10836,30460,12312,21500,14313,22891,16974,25607,20810,22762,24644,22890,29944,22993,48182,25125,98469,30835,46694,17290,33629,9914,33233,11356,12851,7414,1961,3082,2,65,0,0,0,0,0,0
2022-02,2호선,211,성수,33,0,3991,3083,6669,23388,16657,58892,24055,211994,18121,118238,16131,42598,18082,34148,21710,37102,25393,40624,29915,39118,36964,38653,48244,37910,88720,38843,186566,44433,81971,23352,60198,12330,61503,13623,24443,9609,3313,5210,4,1196,0,0,0,0,0,0
2022-02,2호선,212,건대입구,140,2,9749,1501,14677,16544,37125,19332,71120,46176,46656,38912,27900,31069,27473,34874,32415,42624,34642,48997,36294,50538,41344,56565,49764,66855,56464,84233,66257,110637,48981,67756,63881,38510,86336,47501,41530,31433,5974,12166,11,1237,0,0,0,0,0,0
2022-02,2호선,213,구의(광진구청),17,1,9876,828,19122,8659,48976,11715,86349,31851,50691,19594,27742,16108,23752,16021,24529,19248,25064,21617,23073,22101,23349,28559,25624,31859,28279,43227,33921,74545,17207,52955,14563,34192,16374,40805,10105,27308,3284,9646,2,526,0,0,0,0,0,0
2022-02,2호선,214,강변(동서울터미널),13,0,6166,1451,18564,13126,57550,16400,82162,33984,56828,28084,41948,26884,39500,26505,39897,30066,40911,32600,37585,34323,38404,39565,39095,43726,42738,54867,46629,81625,30702,58990,25119,38981,22171,41718,11562,25933,3182,7593,0,230,0,0,0,0,0,0
2022-02,2호선,215,잠실나루,14,0,2232,1433,7461,7119,25487,16375,33029,29019,20803,18585,16690,13421,16557,12001,17074,14949,16165,15585,16953,14460,17916,13881,21293,14040,25704,18198,22878,29587,10499,22184,7735,13122,6486,15791,4038,10374,1122,3408,0,63,1,1,0,0,0,0
2022-02,2호선,216,잠실(송파구청),70,6,8298,3676,33997,23725,83832,52826,118062,121015,86567,105832,57979,74424,59623,74520,68208,76351,73045,79842,75552,80070,85925,84351,101056,94751,125813,115869,151187,162766,101941,106658,119263,68166,107064,81639,45286,50511,7334,15565,4,193,0,0,0,0,0,0
2022-02,2호선,217,잠실새내,15,0,3356,615,11104,7878,35381,11902,50651,23147,33781,24984,22466,19217,21834,20077,24129,22414,25731,25880,23820,26313,26611,28671,27438,33037,29316,43864,32261,61587,23398,40909,22789,22811,27993,25938,15439,17518,2573,5965,0,265,0,0,0,0,0,0
2022-02,2호선,218,종합운동장,5,2,1135,915,3892,5130,10697,7232,15470,14570,11788,9562,8047,7186,7332,5712,8383,8102,8990,8206,11949,9555,9514,8774,10855,10185,12507,12831,13942,19622,8226,13321,5434,7873,5388,9685,2482,6699,572,2197,1,182,0,0,0,0,0,0
2022-02,2호선,219,삼성(무역센터),105,0,3575,4102,5315,29283,10722,92842,15196,240373,16106,167838,17631,72294,26573,56598,32001,54768,40377,59166,50618,50777,65727,45325,82240,40478,146460,40819,220971,42481,112648,23106,93922,12436,80069,12874,36888,7523,5719,2660,0,1136,0,1,0,0,0,0
