사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
2022-02,3호선,329,고속터미널,39,2,3893,2634,5270,22070,17769,31570,30318,51769,36176,70981,37686,63261,48319,66558,57533,65605,63639,67416,68750,68435,77776,71178,87220,67979,100527,71370,98502,78607,82341,49920,99178,30298,56851,27081,30559,14766,6346,5518,2,167,0,0,0,0,0,0
2022-02,3호선,330,교대(법원.검찰청),21,0,860,699,2514,4684,5392,12651,8653,36023,7549,27874,7938,12388,10102,8313,11795,8298,14308,8144,15564,7904,17369,7540,20082,7651,31737,9560,51325,12296,20968,6281,18890,3195,22276,3645,11133,2396,1296,967,1,16,0,0,0,0,0,0
2022-02,3호선,331,남부터미널(예술의전당),42,1,1925,1123,6330,18171,18785,40815,30086,115314,25200,64482,22676,37350,28049,28720,29554,31100,32765,34063,32643,33537,36619,31753,46647,33799,71858,37250,105104,45471,48604,28952,34108,17176,35377,17668,20088,9563,2638,3599,3,54,0,0,0,0,0,0
2022-02,3호선,332,양재(서초구청),40,1,4214,1933,10651,32560,24413,76906,35154,180377,24926,98074,23431,42147,27310,33870,29689,32564,33972,37241,35997,32392,41604,32241,51309,34071,94293,43759,156558,55972,64805,37556,48215,24217,49965,25411,21241,16600,2582,5888,4,445,0,0,0,0,0,0
2022-02,3호선,333,매봉,5,1,1091,458,4990,6808,10927,16528,15041,51304,10366,32502,8734,12242,9021,9574,9861,9434,10858,10037,12266,8415,13627,9334,15829,9895,28799,13384,48983,17405,17469,11328,12543,6981,14667,7816,5588,5518,716,1916,0,188,0,0,0,0,0,0
2022-02,3호선,334,도곡,11,11,821,292,2614,3682,5947,9046,8008,16175,5287,12809,4400,5788,4687,5200,5190,5259,5707,5663,5664,5150,6984,4659,8387,4966,12123,6338,13766,8207,6618,6442,4801,3868,4723,4593,2915,3013,418,978,6,437,0,0,0,0,0,0
2022-02,3호선,335,대치,7,0,1965,553,8130,7161,15173,13362,17265,22637,11112,17460,9149,11805,9854,11600,13058,14515,13756,16938,12621,14877,14848,13879,16790,15351,25129,20667,22783,22547,13936,15788,9904,9314,13039,10449,23334,7344,1481,2641,0,24,0,1,0,0,0,0
2022-02,3호선,336,학여울,2,0,464,205,1269,1099,2401,2360,2847,6270,2003,4294,1693,3822,2329,3294,3087,3305,3230,3571,3704,3491,4238,2816,4671,2265,5456,2505,5356,2950,2045,2384,1311,1540,1390,1747,713,1170,99,443,0,3,0,0,0,0,0,0
2022-02,3호선,337,대청,45,3,2652,933,7576,4858,18444,8907,24937,20449,14845,9770,10844,6812,10662,6629,11157,8032,11673,8367,10612,8566,11382,10406,13606,11412,17689,14474,20008,21974,8479,17595,6092,11369,5543,12493,3064,10278,589,3511,0,51,0,0,0,0,0,0
2022-02,3호선,338,일원,7,0,1504,1042,5759,7880,14453,20661,16424,18081,12414,13822,11853,11962,12971,8930,12943,10934,11913,12912,12626,10682,15444,10536,18759,9061,26666,10649,13605,14902,6812,11619,4284,7906,3318,9121,2488,7309,658,2027,0,46,0,0,0,0,0,0
2022-02,3호선,339,수서,235,13,3469,1656,8389,11002,23732,22414,33091,39409,21677,24907,21055,17396,18905,14059,23735,17901,21006,17784,17400,17646,23921,20824,26577,22922,32418,26845,38237,38404,17256,28111,18305,18482,12454,18143,10397,13938,2083,3591,1,293,1,1,0,0,0,0
2022-02,3호선,340,가락시장,37,6,1908,371,4865,4320,13360,9007,15969,22072,11330,12070,9655,8120,9649,8291,10196,8657,10765,9092,10606,9389,11032,10536,12074,11257,15246,13394,22059,17431,9107,11801,7158,8270,7124,8147,3196,6231,470,2165,5,441,0,0,0,0,0,0
2022-02,3호선,341,경찰병원,13,0,1842,225,4981,2764,15596,6911,19677,22148,11192,11018,8342,6565,7456,4745,7140,5876,7533,7153,7507,6694,7889,6925,7896,7573,12012,10973,15937,16205,5419,12078,4357,8109,4395,7468,2093,6193,312,2240,0,442,0,0,0,0,0,0
2022-02,3호선,342,오금,25,0,2950,5,5104,1598,17858,4061,22753,10262,11713,4615,6501,3686,5691,3556,6584,4530,6365,5113,5299,4720,5072,6068,6049,6591,7812,9846,9177,15966,3540,11516,2711,7768,2469,8466,1429,6994,233,2633,0,525,1,1,0,0,0,0
2022-02,4호선,409,당고개,37,1,6555,22,14913,4295,41057,6302,41863,10794,23924,9845,16784,10037,15539,9463,16483,10606,15940,10776,14820,11683,13861,14006,13766,16894,13137,21011,12686,32439,7667,29789,4841,19200,4207,20953,2779,15530,525,6774,2,87,0,0,0,0,0,0
2022-02,4호선,410,상계,21,1,10115,119,25811,5617,62964,7394,55752,16396,32922,13354,23635,13290,20977,13531,22753,16220,21607,17454,19770,17629,18947,20588,19503,25209,18886,31335,18008,51502,11198,47101,8357,27828,8884,29670,7448,22294,1247,9576,1,10,0,0,0,0,0,0
2022-02,4호선,411,노원,97,2,8164,363,16952,5004,39030,8762,40930,22208,25700,23377,19547,18728,19179,18960,22786,22290,22598,25971,22660,25678,23534,28286,24402,33149,25354,41219,25777,62695,18348,46438,22853,25677,25482,27288,13674,19319,1850,8256,7,1558,0,0,0,0,0,0
2022-02,4호선,412,창동,1336,13,11302,2143,26877,9184,67162,12455,59957,29610,37700,23811,29834,21875,28555,22806,31310,28968,32903,33108,30667,36074,32443,38500,35537,42418,36859,49954,37622,74557,21097,62600,17484,35519,17707,37078,8852,26334,1973,10875,118,1602,0,0,0,0,0,0
2022-02,4호선,413,쌍문,215,10,17872,807,39917,6330,94029,10570,96253,22059,59347,16295,40010,15148,35075,16801,35516,21243,33572,22181,29381,24977,27188,31641,27590,39452,27730,51075,26204,83745,15519,77409,11700,47084,10869,50674,6143,37137,1796,16105,1,408,0,0,0,0,0,0
2022-02,4호선,414,수유(강북구청),37,6,14747,2200,34690,8602,83692,15928,93066,43539,59218,31870,41851,25013,39067,26120,41651,28760,41288,32997,39544,36187,38754,42320,40484,53157,43239,66321,48529,100147,27357,84055,22640,49827,25264,52467,13691,37406,3087,17716,2,3,0,0,0,0,0,0
2022-02,4호선,415,미아(서울사이버대학),42,6,7903,980,15643,4144,35390,9244,40871,22492,26148,14963,18377,11983,17547,12249,18878,13155,17581,14877,16826,15781,17087,19215,18082,21110,18821,25791,21048,37692,11695,30528,8083,19598,7088,21132,4091,14182,1101,6478,0,0,0,0,0,0,0,0
2022-02,4호선,416,미아사거리,38,2,11151,1486,27493,5963,69295,11417,76663,25333,46474,27687,32649,21889,31723,22644,32806,26351,33686,27832,32622,30577,33017,36937,34333,40876,33702,55136,33888,80642,24005,62153,24017,35126,16220,40118,8667,26827,1834,10453,0,0,0,0,0,0,0,0
2022-02,4호선,417,길음,3,0,7281,1539,21224,4995,59042,8974,61500,20983,35235,16441,24922,13601,21980,15049,24503,16923,23299,19182,21164,19994,20546,22645,22221,26993,23755,37296,21966,59613,12121,48752,9757,29223,8768,32615,7070,22548,1400,8263,1,0,0,0,0,0,0,0
2022-02,4호선,418,성신여대입구(돈암),13,3,4129,1277,12948,4587,33380,10785,39202,24684,25812,21170,20716,17808,21121,17679,24443,21117,24783,23962,25009,24056,26099,25936,28372,29725,30621,38407,33847,51871,21810,38469,21431,22934,26669,26533,14902,18431,2615,7698,1,0,1,1,1,0,0,0
2022-02,4호선,419,한성대입구(삼선교),59,2,5286,811,9249,4467,22036,9794,28386,19836,19132,19277,14661,13348,14358,12670,17327,13574,17269,15555,16796,14734,17181,15743,20550,17840,21876,22251,22480,28356,12087,23360,10123,14968,10363,17210,5677,12477,1200,5424,1,1289,0,0,0,0,0,0
2022-02,4호선,420,혜화,12,1,2191,2011,5539,17365,13115,34864,15653,83585,17913,63647,23868,44263,27694,40602,28273,52103,29486,63596,38550,58365,51525,44114,64601,41935,77110,46432,90574,45285,50853,31537,57207,12562,75098,15715,39928,10465,5506,4428,2,86,0,0,0,0,0,0
2022-02,4호선,421,동대문,99,18,4091,2015,2230,10436,3589,26431,4785,57359,7818,52617,11573,40199,17022,34645,20174,30412,23217,29371,29617,27798,36233,22977,44693,16518,65272,11096,49677,8664,23046,10459,15215,6412,18189,4549,7024,2890,1840,3361,2,83,0,0,0,0,0,0
2022-02,4호선,422,동대문역사문화공원(DDP),295,6,4733,1224,3025,9823,5021,19154,6355,50290,6119,28145,6740,19238,9759,17582,11916,17378,13316,17554,17369,17268,22080,14832,25766,12403,41386,12385,56440,12945,28116,16655,21243,7862,22342,6761,12022,4241,3346,2717,1,286,0,0,0,0,0,0
2022-02,4호선,423,충무로,74,3,1884,2304,3002,15611,6050,40420,9863,127507,10291,74399,10517,36147,13997,28444,16538,27074,20574,27144,25749,23963,29914,21124,37602,20556,62466,22251,109268,24273,50777,13536,38055,6994,41465,8503,19790,5331,4047,2567,3,160,0,0,0,0,0,0
2022-02,4호선,424,명동,13,0,593,619,2105,10896,3182,27958,4539,75861,5627,48705,7470,26961,11907,25179,15413,25419,17604,25031,21758,23868,26867,21464,32194,18125,46063,17633,79684,15849,34736,8915,28445,4903,24179,4886,9907,2996,1475,1112,1,129,0,0,0,0,0,0
2022-02,4호선,425,회현(남대문시장),21,0,1414,563,2357,14676,3455,37136,5976,91553,6571,71175,9581,53608,16427,42002,21860,36830,26802,32453,33806,30453,41375,24938,56372,17357,67663,13598,87142,11414,33894,6370,34362,3727,15979,4714,6956,2699,1374,1065,1,194,0,0,0,0,0,0
2022-02,4호선,426,서울역,154,5,3073,454,4118,7828,8833,23649,11186,55266,8529,30734,7250,16226,9029,14647,9493,17921,9386,17525,9831,16218,10605,18179,12661,18611,28338,21746,41642,23385,15178,17103,10265,11496,10712,13035,5414,8191,1198,3069,3,561,1,1,0,0,0,0
2022-02,4호선,427,숙대입구(갈월),5,0,2082,564,5592,4890,11687,14018,18074,35196,13449,22619,11547,13252,12052,11741,13576,12969,13672,13437,14314,13373,14800,14025,19126,15851,24063,19565,37116,25810,17575,16256,15246,10044,17543,11702,8697,7307,1705,2933,0,0,0,0,0,0,0,0
2022-02,4호선,428,삼각지,0,0,484,262,1437,2861,4931,6808,7509,13843,4667,7822,3526,5741,3669,5908,4430,6398,4853,6203,5100,5843,5320,6011,6610,6933,10438,9279,13950,12417,6579,7167,6774,4041,8749,5141,3685,3344,616,1290,1,95,0,0,0,0,0,0
2022-02,4호선,429,신용산,8,0,950,706,3046,7742,8215,22721,12326,63567,9953,45918,8517,22158,11568,17681,12543,18217,14595,18536,14934,17339,18908,17839,22694,17769,39924,20447,65342,24551,31208,14244,25586,8179,24534,8304,10051,4550,2158,1426,0,0,0,0,0,0,0,0
2022-02,4호선,430,이촌(국립중앙박물관),47,0,857,535,3514,5226,8101,9573,11898,20366,8268,13802,6349,10220,6846,9659,9233,11019,9413,12985,10206,11909,12231,10809,16016,9977,19159,11227,20083,14627,7194,10280,6477,6264,6153,7169,2422,4515,434,1552,0,2,0,0,0,0,0,0
2022-02,4호선,431,동작(현충원),4,1,210,100,371,1330,1064,2315,1660,3924,1440,2361,1153,2341,1581,1981,1621,2477,2173,2777,2486,2653,3002,2492,3078,2273,4003,2583,4002,3157,1993,1911,1499,1037,1575,911,533,501,130,299,0,94,0,0,0,0,0,0
2022-02,4호선,432,총신대입구(이수),67,1,4302,749,11493,6458,32531,12461,43501,32990,27491,25145,20822,19250,20000,19512,23116,21540,23986,23654,22876,25107,22916,28247,23703,32021,27274,39360,33583,57341,19346,35612,17505,19478,19292,21819,9028,13758,1406,5463,0,28,0,0,0,0,0,0
2022-02,4호선,433,사당,110,34,7423,923,17222,12260,49826,14791,64303,25840,48743,20546,30115,17538,26628,19347,28810,21761,28305,21066,26862,21345,25922,24974,27282,30709,31480,42039,35595,61676,23332,39294,23197,24134,28721,27353,14443,19178,2581,8552,2,705,0,6,0,0,0,0
2022-02,4호선,434,남태령,63,0,380,74,714,904,1482,2355,2245,3134,1884,1202,1528,861,1401,907,1555,935,1356,978,1320,1119,1445,1160,1866,1202,2397,1344,2701,1515,1017,1217,756,850,502,780,290,523,78,223,1,15,0,0,0,0,0,0
2022-02,경부선,1001,서울역,2,0,21,234,68,2079,7338,3186,13107,3634,9045,3102,8537,2259,10302,1324,9478,2170,9787,2174,7846,1960,9464,2258,10728,2500,10226,4569,11795,6498,11304,3187,7483,1872,10095,1713,6463,1146,2455,156,15,12,0,0,0,0,0,0
2022-02,경부선,1002,남영,14,0,1892,694,3338,4636,8090,12872,12398,36965,8126,20143,6577,8892,7010,7926,8480,8517,8158,8853,8891,8278,9374,8686,12279,9692,17951,11901,33987,16648,12443,10413,9953,6821,11302,7761,5582,5237,1069,2323,3,171,0,0,0,0,0,0
2022-02,경부선,1003,용산,208,6,2604,3624,3545,22142,14050,44911,22663,106940,23503,74224,19755,54782,35129,44693,31940,48609,39287,50832,38074,47131,57556,47525,62164,44536,85504,45262,114407,50052,66517,34699,70260,21705,59996,17315,28613,7650,7709,2465,30,283,0,0,0,0,0,0
2022-02,경부선,1004,노량진,155,2,3213,1299,4686,3790,11040,8522,17179,14611,9809,9655,7409,6331,7988,6659,9737,7980,10704,8991,9680,8168,9570,9969,10822,11176,13305,16079,14776,25085,9325,14859,10075,8895,12754,10378,7097,6379,1047,2905,24,190,0,0,0,0,0,0
2022-02,경부선,1005,대방,242,5,4417,1727,7621,7212,20722,25899,29140,38318,16140,18147,12211,9594,11913,8791,12747,10512,13227,11852,13318,10442,14147,11252,14700,12985,23683,18996,33066,28913,12231,19568,9174,12788,9855,15231,5337,9535,927,3962,15,372,2,0,0,0,0,0
2022-02,경부선,1006,영등포,2736,90,11127,4489,12679,15692,28330,40847,42026,96508,28478,71688,29098,53304,30983,53268,36279,57363,41880,67885,45847,59939,56370,57603,69713,57492,84374,64561,118905,78971,67887,47415,77214,25089,65506,24621,33044,15071,5643,6376,21,704,0,0,0,0,0,0
2022-02,경부선,1007,신도림,292,2,1600,517,2501,2359,6741,5344,8392,12575,4914,5309,3506,3523,3483,3284,3679,3796,4146,3929,4465,3818,4545,4275,5380,4860,8059,6609,12302,9680,5344,5514,4330,3385,4754,3730,2332,2452,495,1095,4,428,0,0,0,0,0,0
2022-02,경부선,1032,신길,532,2,7565,1488,8562,4184,17116,10882,24515,20152,13458,7657,8870,4865,8157,5057,9157,5780,8394,6143,7759,6112,8347,7503,9822,8863,13865,12369,20438,17136,8399,12780,5255,8501,5615,11427,3177,7123,656,2853,11,366,0,0,0,0,0,0
2022-02,경부선,1701,구로,7345,21,17015,3797,15110,9768,27503,24492,28849,62369,21342,31961,15862,20231,16606,17101,17325,16985,18068,18213,18488,17399,20425,18877,24156,21337,39127,27875,51087,33979,20232,23740,16109,15269,15178,17641,7383,12489,1762,7683,4,3382,0,0,0,0,0,0
2022-02,경부선,1702,가산디지털단지,927,3,6200,1847,5914,9174,11029,42084,11526,124886,8743,55497,7942,17839,8655,12991,10028,12297,10980,12906,11449,12289,12672,12052,19411,14297,50621,18718,89421,20737,34349,15599,21425,9524,20100,11667,7595,7683,1298,2824,33,553,0,0,0,0,0,0
2022-02,경부선,1703,금천구청,385,2,9384,1077,14137,3959,34670,11535,32624,23852,18561,10057,13487,7820,12837,7929,13317,9683,12254,11408,10995,10036,11124,14285,11800,15660,13678,21325,20182,35710,8575,26238,6534,13777,6042,15789,3230,10731,598,3796,16,210,0,0,0,0,0,0
2022-02,경부선,1704,석수,252,0,5976,1985,12124,5204,28755,9299,28207,12871,15222,8742,10048,7885,9448,5716,10000,5892,9555,6554,9001,6652,10313,8230,10735,9554,13581,15105,12936,25200,7010,20240,4716,11567,4267,14021,2423,9601,481,2909,10,156,0,0,0,0,0,0
2022-02,경부선,1705,관악,76,3,5636,1348,9139,3000,23563,4376,23495,7061,11356,7319,8155,7054,7406,5318,8297,6106,8358,5601,7693,5681,8110,7021,8902,7991,8562,11910,7576,22151,4381,16474,3452,9979,3157,10490,1401,7510,335,2615,7,158,0,0,0,0,0,0
2022-02,경부선,1706,안양,169,8,10879,2000,23251,7630,63125,12718,56221,22902,29859,18607,22216,16963,21748,19662,25090,22014,23584,25497,22590,23092,23971,26901,26810,29625,28281,39923,25666,64947,16720,49567,16170,28297,19243,27626,9765,19567,1681,8276,16,388,0,0,0,0,0,0
2022-02,경부선,1707,명학,87,0,4910,1212,7870,5186,19596,20140,17441,39349,8653,10703,6462,6215,6513,4709,7284,5753,6856,6040,6586,5406,7167,5630,9777,6553,18097,8597,28432,16155,8956,13726,9360,7787,6245,7881,2891,6341,606,2964,4,81,0,0,0,0,0,0
2022-02,경부선,1708,금정,202,0,16287,4674,26106,17865,61179,32030,64764,70631,37038,25023,25164,15354,24386,17613,26587,18621,25004,20781,22525,21560,23638,26582,29253,31082,44682,43705,59250,65853,24940,52814,20128,32257,20054,38200,9625,26089,2254,11977,37,1140,0,0,0,0,0,0
2022-02,경부선,1709,군포,24,2,3848,1459,6666,6976,14155,26654,13581,37987,7403,6197,5726,3446,5559,3974,6342,4274,5747,4550,5408,4434,5413,5408,7582,6284,17533,7797,29569,12303,9998,9030,8570,6680,5114,6356,2264,4721,533,1661,5,41,0,0,0,0,0,0
2022-02,경부선,1710,의왕,46,1,4674,1708,9568,6451,22188,19667,22321,20976,10487,6724,8361,4774,8144,5147,8686,6421,8471,6758,7917,6722,7789,7840,10492,9790,17442,12671,18540,22733,8253,15872,5668,11411,5446,10859,2761,7906,704,3385,4,82,0,0,0,0,0,0
2022-02,경부선,1711,성균관대,35,1,5663,1389,19139,4566,48321,6427,38307,14824,18450,10172,13934,8984,13495,9502,14704,11080,13892,12318,13083,11989,13127,14073,14751,17952,16988,25850,17528,44460,9671,37146,8391,22018,9484,23130,5891,16536,1366,6713,13,216,0,0,0,0,0,0
2022-02,경부선,1712,화서,247,8,5370,1291,15601,3306,31132,3925,23852,6872,9755,4645,7552,4456,7473,4688,7331,5184,6950,6400,6298,5946,6228,6656,8187,8350,7774,13660,7442,26500,3873,22100,2998,12400,2833,10939,2134,8991,477,3437,2,229,0,0,0,0,0,0
2022-02,경부선,1713,수원,1052,52,13028,4737,24025,21834,53274,34305,45998,47250,29560,43531,28170,42322,34357,45712,37022,55586,38312,54714,39860,55043,47924,53495,59599,57555,63530,62959,72665,84268,54582,61931,63801,36775,54464,33374,30387,24771,5522,9940,62,1812,0,0,0,0,0,0
2022-02,경부선,1714,독산,380,2,5447,1800,13125,10284,33914,34858,31912,85153,16499,40483,12841,12963,12407,9945,14649,11126,13963,11234,13242,9905,14452,12781,19748,14194,46256,20591,61881,34678,29343,28134,16120,16251,12259,19235,5858,13492,1197,3599,18,273,0,0,0,0,0,0
2022-02,경부선,1715,세류,280,0,2611,605,5252,1680,10712,3255,6878,3139,3590,1959,2813,2053,2828,2111,3042,2525,2942,2458,2489,2596,2842,3008,3494,3449,4328,4593,4288,7844,2267,7027,1987,4200,1641,4380,1008,3199,245,1291,2,266,0,0,0,0,0,0
2022-02,경부선,1716,병점,2319,26,5283,2051,18249,7611,36045,16113,26643,20018,16944,10741,15812,8321,16273,10824,17223,11698,15528,12549,15223,12927,16665,15337,19193,18737,22637,24124,23229,34928,12693,32087,10083,22901,10166,21003,5387,17754,1160,7766,6,2301,0,0,0,0,0,0
2022-02,경부선,1717,세마,228,0,1588,341,3737,1032,6930,2661,5645,6891,3832,1868,3013,1262,2801,1890,3115,2017,3572,2164,2923,2329,2963,2000,3139,3283,4080,4916,6012,5448,2007,6247,1424,3680,1447,3805,682,2529,239,1130,24,66,0,0,0,0,0,0
2022-02,경부선,1718,오산대,126,0,2010,747,4341,1814,8426,2939,6664,5864,4060,1815,3423,2168,3362,2255,3636,2484,3919,3035,3268,3196,3463,2688,4304,3823,4589,5481,6068,8410,2746,6760,2408,3887,2444,4328,1173,2643,358,1354,30,81,0,0,0,0,0,0
2022-02,경부선,1719,오산,167,2,4594,1849,11000,6270,16412,20473,15490,16178,11254,8934,10797,7145,11967,8278,12733,9218,12265,10661,11815,10185,12297,11860,14954,14233,19285,16056,20577,21735,10974,17255,9802,14138,7075,12368,3234,7244,1115,3954,36,298,0,0,0,0,0,0
2022-02,경부선,1720,진위,2,0,618,229,971,1820,2053,5978,1780,5992,1269,1287,1016,788,1101,795,1450,833,1264,824,1281,813,1453,931,2070,1231,4699,1189,7479,1719,2227,1656,1576,1128,908,1191,390,749,140,418,8,27,0,0,0,0,0,0
2022-02,경부선,1721,송탄,37,0,4218,504,5928,2115,9839,3781,8006,5461,6229,3345,5717,2886,5968,3201,5898,4238,5884,4165,5155,4538,5418,5072,5820,6206,6499,8502,7333,9826,3976,10646,2853,7130,2803,7132,1283,5646,530,3538,35,244,0,0,0,0,0,0
2022-02,경부선,1722,서정리,19,0,2576,3324,6637,5514,10070,9417,9699,10753,8036,5233,7607,4906,8022,4368,9129,6202,7867,7266,8247,6594,8533,7346,10460,10324,17655,12300,13224,10921,8043,12720,6148,8726,4871,7861,1724,7241,623,3997,12,251,0,0,0,0,0,0
2022-02,경부선,1723,평택지제,1,1,952,4365,2353,7435,6312,9101,4315,5226,3184,3193,2943,1724,2920,2461,4084,2647,2679,2521,3287,2667,4719,2984,5471,3351,9132,3946,7840,5540,5687,4739,3512,3510,3438,3505,2862,2578,713,1312,0,26,0,0,0,0,0,0
2022-02,경부선,1724,평택,46,3,5273,1636,9274,5344,18224,10079,16160,17181,14613,13679,14991,11422,14774,15007,15843,15371,15971,16098,15528,17634,16838,17093,18913,19511,21513,22930,21236,25578,14472,18086,15859,13560,11723,12374,7164,8804,2436,4664,4,809,0,0,0,0,0,0
2022-02,경부선,1725,성환,13,0,1064,295,2216,1565,3619,6830,4072,6649,3875,2778,4019,2978,3814,2950,4018,4178,4862,3766,4527,3509,4712,4220,5865,4094,7343,4706,6616,5237,2709,3871,2744,3630,1449,3612,702,2418,245,1466,24,289,0,0,0,0,0,0
2022-02,경부선,1726,직산,4,0,287,196,895,692,1107,2018,1047,2071,834,705,751,570,847,675,840,710,801,779,795,679,963,731,857,769,2190,936,2314,1106,795,1155,570,686,496,869,243,527,162,468,25,69,0,0,0,0,0,0
2022-02,경부선,1727,두정,639,2,2754,411,5863,1633,9912,4338,8207,5874,6151,5929,5521,5667,6125,5435,6008,6610,6255,6237,6206,6457,7026,5603,7257,8372,8280,9195,9707,13027,5045,8811,4357,7181,4407,5176,2613,4703,955,4092,18,810,0,0,0,0,0,0
2022-02,경부선,1728,천안,1071,1,1666,403,3582,2016,6187,3149,5306,6928,7400,7444,6623,6717,8103,8294,8155,9219,8602,9478,9426,8542,9829,9325,9514,8442,9492,10149,8929,10744,6098,7673,5206,5578,3906,3979,1921,2823,918,2195,6,705,0,0,0,0,0,0
2022-02,경부선,1729,당정,3,1,2528,702,7926,2023,18559,6847,17007,12174,8343,4295,6047,3179,6086,3481,6656,3899,6268,4530,5414,4537,5770,4920,6140,6354,7937,8432,10941,15435,4543,14057,3201,9278,3041,8835,1729,7235,409,2705,8,50,0,0,0,0,0,0
2022-02,경부선,1749,서동탄,2,0,736,2,3074,544,7080,1350,2688,1336,1877,602,1241,513,1349,974,1171,809,1182,892,1082,978,1387,1424,1323,1278,1265,1819,1879,2952,703,4574,565,1847,432,1487,337,1903,22,789,4,363,0,0,0,0,0,0
2022-02,경부선,1750,광명,0,0,0,769,2108,1926,8881,4327,7898,4595,4127,3924,2586,2582,4834,1760,3309,5231,3123,144,2715,5359,5790,2708,2231,3378,5677,4231,6943,9230,6078,5284,4083,2607,2478,4513,1314,1431,470,20,1,2,0,0,0,0,0,0
2022-02,경인선,1801,개봉,838,2,13297,3893,27148,10140,66095,11485,65121,19280,37960,14882,26429,12777,24532,15390,26134,18434,24671,18199,21659,20977,20876,25672,23156,31303,24247,43259,23360,70442,12872,52395,10384,30703,9331,34885,5789,22913,1301,8069,8,441,0,0,0,0,0,0
2022-02,경인선,1802,오류동,276,2,9273,1438,13811,3841,36855,4747,38234,9109,20821,8535,15324,8599,14773,8606,16259,10057,14579,10850,12162,11754,12121,13814,12478,16337,12316,20953,11018,35364,6072,29584,5066,16629,4435,18340,2967,12449,734,4869,4,187,0,0,0,0,0,0
2022-02,경인선,1803,역곡,589,5,21263,2826,33463,8276,89543,9701,87613,21785,46784,18966,30672,15714,27835,18351,30464,22823,29426,23152,24748,24691,23803,27338,26293,40603,27747,52891,26073,84726,15580,74508,13473,41490,13133,44585,7626,31896,1757,11969,4,206,0,0,0,0,0,0
2022-02,경인선,1804,부천,1628,20,27689,3742,33533,10180,81210,13497,80117,31891,46576,29923,33971,28147,35712,30297,38175,37371,38159,41592,37349,42194,39274,43979,41527,51635,43044,67269,44876,96856,28830,76141,26787,39893,32218,43643,17182,30897,3266,13766,5,313,0,0,0,0,0,0
2022-02,경인선,1805,송내,1062,3,11676,6105,27712,11608,78803,19377,67084,52289,36319,31248,26115,17681,27099,17686,27926,20156,26325,20851,23726,21510,25416,22375,27992,29699,32937,41609,51151,69209,22178,62938,16296,35141,15369,35883,9524,27691,2606,10383,11,215,0,0,0,0,0,0
2022-02,경인선,1806,부평,5272,44,14801,3979,27360,9715,60503,13477,59047,27254,34558,30712,29307,27469,31325,31513,35119,39009,35286,45856,35394,46664,38982,46322,43526,56556,46928,64695,43618,90575,32353,67007,33719,36575,44564,35768,24335,28047,5011,11464,44,925,3,3,0,0,0,0
2022-02,경인선,1807,백운,47,0,5839,1330,10539,3092,20711,3079,17100,6009,10784,4748,8909,4449,8667,5469,8837,6272,8558,6903,7329,6542,6853,8110,7570,10043,7424,12466,7107,18033,3265,17379,2949,10185,2600,10318,1496,7931,493,3547,10,249,0,0,0,0,0,0
2022-02,경인선,1808,동암,285,1,14120,2620,21600,6766,38288,10414,37370,12936,22247,10746,17636,10609,17159,12607,17951,13584,17584,14874,15634,13881,15402,17830,17151,22011,18572,29595,17169,39177,10085,34664,8678,22596,8883,24023,5240,18906,1466,7508,30,661,0,0,0,0,0,0
2022-02,경인선,1809,주안,628,16,10078,3048,19691,6972,45926,12160,39417,20821,26714,16118,20437,12716,21299,12425,24123,16198,22335,15420,21239,17981,21973,18235,24669,23063,27961,28433,26882,42537,15210,42521,13879,24879,15427,23839,8896,20051,1978,9700,58,1015,0,0,0,0,0,0
2022-02,경인선,1810,제물포,556,3,5887,1210,11369,3611,29081,7558,24550,16954,13953,9779,11963,7191,11900,6867,12553,8648,12016,9189,10925,9043,10938,9822,12417,11970,14354,15154,16908,23172,6202,22199,4615,13625,4350,14722,2729,11606,634,5611,5,844,0,0,0,0,0,0
2022-02,경인선,1811,동인천,1081,4,5226,1909,11531,8806,28625,16078,22396,23549,15070,13081,13835,13796,15820,16912,17133,15428,16985,18134,17203,16683,19514,15700,21719,17668,28462,19515,32444,24147,13008,23964,9817,14417,9066,13084,4371,11597,745,4922,6,948,0,0,0,0,0,0
2022-02,경인선,1812,인천,168,27,688,813,2256,3522,4137,4303,3231,6258,2141,3070,2311,3604,3126,5354,4149,6475,5305,5806,6313,5781,7468,4674,8624,3460,9791,2870,9522,2294,4346,1789,3875,1389,2412,1304,969,894,181,583,4,336,0,0,0,0,0,0
2022-02,경인선,1813,구일,285,6,2907,928,7016,2321,19061,4599,17601,8436,9314,4512,6904,3433,6770,3809,6962,4652,6734,5307,6265,5738,6411,6766,6653,8000,7668,10152,8146,19430,3350,15053,2642,8304,2436,9441,1493,6141,391,2333,3,89,0,0,0,0,0,0
